"id";"1";"2";"3";"4";"5"
1;1;1;1;1;0
2;1;0;0;1;0
3;1;1;1;1;1
4;1;1;1;1;0
5;1;0;0;1;0
6;1;1;1;1;1
7;1;0;0;1;0
8;0;1;1;0;0
9;1;0;0;1;0
10;1;1;1;1;0
11;1;1;1;1;1
12;1;1;1;1;0
13;0;0;0;0;0
14;1;1;1;1;0
15;1;0;1;1;0
16;1;1;1;1;1
17;1;0;0;0;0
18;1;0;0;1;0
19;1;1;1;1;1
20;1;1;1;1;0
21;1;1;1;1;1
22;0;0;0;0;0
23;1;1;1;1;0
24;1;1;1;1;0
25;1;1;1;1;0
26;1;0;0;1;0
27;1;1;1;1;1
28;1;1;1;1;1
29;1;0;0;1;0
30;1;1;1;1;0
31;1;1;1;1;0
32;1;1;1;1;0
33;1;1;1;1;0
34;1;0;1;1;0
35;1;1;1;1;0
36;1;1;0;1;0
37;1;0;0;1;0
38;1;1;1;1;1
39;1;1;1;1;1
40;1;0;0;0;0
41;0;0;0;0;1
42;1;1;1;1;0
43;1;1;1;1;0
44;1;1;1;1;1
45;1;0;1;1;0
46;0;0;0;0;0
47;1;0;1;1;0
48;1;1;1;1;1
49;1;1;1;1;0
50;1;1;1;1;1
51;0;0;0;0;0
52;1;1;1;1;1
53;1;1;1;1;0
54;0;0;0;0;0
55;1;1;1;1;0
56;1;0;0;1;0
57;0;0;0;0;0
58;1;1;1;1;1
59;1;1;1;1;1
60;1;1;1;1;1
61;1;0;1;1;0
62;1;1;1;1;0
63;1;1;1;1;0
64;0;0;0;0;0
65;1;0;0;1;0
66;0;0;0;0;0
67;1;1;1;1;1
68;1;1;1;1;0
69;1;1;1;1;1
70;1;0;0;0;0
71;1;1;1;1;1
72;1;1;1;1;1
73;0;0;0;0;0
74;1;0;0;1;0
75;1;1;1;1;1
76;0;1;1;0;0
77;1;1;1;1;1
78;1;1;1;1;1
79;1;1;1;1;0
80;0;0;0;0;0
81;1;0;0;1;0
82;1;1;1;1;1
83;1;0;1;1;0
84;1;1;1;1;0
85;0;0;0;0;0
86;1;0;0;1;0
87;1;1;1;1;0
88;1;1;1;1;1
89;1;0;1;0;0
90;1;1;1;1;1
91;1;1;1;1;1
92;1;1;1;1;1
93;1;0;0;1;0
94;0;0;0;0;0
95;1;1;1;1;0
96;1;1;1;1;1
97;0;0;0;0;0
98;1;1;1;1;0
99;0;0;0;0;0
100;1;0;0;1;0
101;0;0;0;0;0
102;1;1;1;1;0
103;1;1;1;1;0
104;0;0;0;0;0
105;1;1;1;1;1
106;1;1;1;1;0
107;1;0;0;1;0
108;0;0;1;0;0
109;1;0;1;1;0
110;1;1;1;1;0
111;1;1;1;1;1
112;1;0;1;1;0
113;1;0;0;1;0
114;1;1;1;1;1
115;1;1;1;1;1
116;0;0;0;0;0
117;1;0;0;1;1
118;1;1;1;1;0
119;1;1;1;1;1
120;1;1;0;0;0
121;0;0;0;0;0
122;1;1;1;1;1
123;1;0;0;1;0
124;1;1;1;1;0
125;1;1;1;1;1
126;0;0;0;0;0
127;1;1;1;1;0
128;1;0;1;1;0
129;1;1;1;1;1
130;1;1;1;1;0
131;1;1;1;1;0
132;1;1;1;1;1
133;0;0;0;0;0
